id,value
1.0,21.88958366891162
2.0,63.22025858257845
3.0,31.087458893755787
4.0,34.89287040227386
5.0,8.557462703587376
6.0,22.13519618334397
7.0,42.149344180633996
8.0,18.51446691285085
9.0,59.64145885180071
10.0,23.37546697017202
11.0,34.24674092140732
12.0,49.60502779358269
13.0,37.2342239267101
14.0,23.295555425086533
15.0,38.58777807424293
16.0,14.183099108190557
17.0,51.53170697262482
18.0,29.163672804369533
19.0,12.25381350979474
20.0,15.3102314135811
21.0,17.334272251218344
22.0,34.86006843800642
23.0,38.957523109194454
24.0,22.19908548724038
25.0,57.02693802312531
26.0,30.522445740606116
27.0,18.19950541576359
28.0,13.325393421067865
29.0,32.96047264429721
30.0,22.468088471775268
31.0,10.39021607890774
32.0,9.113037652829322
33.0,18.063567745658588
34.0,15.597561823711859
35.0,18.76922461059828
36.0,46.87541649353258
37.0,24.683590482885016
38.0,25.692257744617514
39.0,18.407717385994825
40.0,49.929334316288376
41.0,32.86226383453375
42.0,34.42847463778647
43.0,48.33993345628375
44.0,21.757831341936466
45.0,30.04401628776754
46.0,48.797264924000984
47.0,45.476014542723796
48.0,40.21688924213134
49.0,36.567182175285495
50.0,22.1865404030927
51.0,32.64556378848102
52.0,19.485177094347513
53.0,35.824778722036186
54.0,19.67475139946498
55.0,32.32967240053301
56.0,39.37140305398331
57.0,24.020647038933017
58.0,22.418766214167853
59.0,34.86894930334838
60.0,44.315832374412565
61.0,7.375912341669055
62.0,42.44452035405683
63.0,33.395854475964725
64.0,39.27613070501948
65.0,41.27797346868218
66.0,26.341274042901762
67.0,36.57576688635737
68.0,44.248153205238
69.0,27.11931837485161
70.0,35.23439187008887
71.0,51.245805199578434
72.0,58.57520130050482
73.0,35.27734028202454
74.0,16.39803253305595
75.0,14.52818749302851
76.0,36.319456888058475
77.0,55.590678600745974
78.0,6.372393874939637
79.0,43.87423730208361
80.0,38.57441007904143
81.0,13.462760132837243
82.0,18.460715821477557
83.0,3.806812303248669
84.0,34.54466825946329
85.0,10.44566596053597
86.0,12.780234795171818
87.0,14.767293766203963
88.0,14.61651511511836
89.0,24.095143076600166
90.0,17.531495070491705
91.0,30.45732168835148
92.0,11.746036282838942
93.0,20.76610827659029
94.0,15.50244543491343
95.0,31.17522079123627
